"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TURN","180 Degree Capital Corp.","2","62243124","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FCCY","1st Constitution Bancorp (NJ)","19.58","164556037.36","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"TPNL","3PEA International, Inc.","4.55","211120000","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/tpnl",
"AXAS","Abraxas Petroleum Corporation","1.26","209922608.7","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"ACTG","Acacia Research Corporation","3.05","151399922.95","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACST","Acasti Pharma, Inc.","1.09","85160138.03","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acst",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.51","155387252.72","n/a","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","24.26","243885488.88","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acer",
"AKAO","Achaogen, Inc.","1.38","63083263.8","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akao",
"ACRS","Aclaris Therapeutics, Inc.","6.7","274272479.7","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","10.02","160357454.76","n/a","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",
"ACNB","ACNB Corporation","36.88","259717221.12","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"ADMS","Adamas Pharmaceuticals, Inc.","8.78","240005979.74","n/a","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","3.08","145657382.64","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/admp",
"IOTS","Adesto Technologies Corporation","5.04","148348075.68","n/a","2015","Technology","Semiconductors","https://www.nasdaq.com/symbol/iots",
"ADMA","ADMA Biologics Inc","3.22","149251002.46","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adma",
"ADRO","Aduro Biotech, Inc.","2.64","209626781.76","n/a","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adro",
